,name,department,university,avg_rating,num_reviews,take_again_pct,difficulty,rmp_profile_url,rmp_professor_id,error
466,Alberto Zambenedetti,Film,University of Toronto,4.8,5,100,1.8,https://www.ratemyprofessors.com/professor/2237040,2237040,
467,Fouad Oveisy,English,University of Toronto,3.7,3,67,1.7,https://www.ratemyprofessors.com/professor/2975848,2975848,
468,,,,,,,,,,invalid literal for int() with base 10: 'N/A'
469,Demetres Kostas,Computer Science,University of Toronto,2.5,4,25,3.8,https://www.ratemyprofessors.com/professor/2928830,2928830,
470,Donald Kirk,Engineering,University of Toronto,3.3,3,100,4.3,https://www.ratemyprofessors.com/professor/2765038,2765038,
471,Harvey Nicholson,Sociology,University of Toronto,2.0,1,0,4.0,https://www.ratemyprofessors.com/professor/2985590,2985590,
472,Michael MacPherson,Chemistry,University of Toronto,4.0,7,72,4.0,https://www.ratemyprofessors.com/professor/2981326,2981326,
473,Denise Belsham,Science,University of Toronto,2.0,2,0,5.0,https://www.ratemyprofessors.com/professor/2989386,2989386,
474,Marcin Janczak,Languages,University of Toronto,4.0,3,67,2.7,https://www.ratemyprofessors.com/professor/2933676,2933676,
475,Esam Mahdi,Mathematics,University of Toronto,2.4,15,40,3.9,https://www.ratemyprofessors.com/professor/2825389,2825389,
476,Mohammad Vasfi,Mathematics,University of Toronto,5.0,1,100,3.0,https://www.ratemyprofessors.com/professor/2985141,2985141,
477,Shenella Charles,History,University of Toronto,2.0,3,34,3.0,https://www.ratemyprofessors.com/professor/2721852,2721852,
478,Dr. Fouâd  Oveisy,English,University of Toronto,5.0,1,100,1.0,https://www.ratemyprofessors.com/professor/2982192,2982192,
479,Hendrickson Sa'diyya,Engineering,University of Toronto,4.0,4,75,3.3,https://www.ratemyprofessors.com/professor/2935402,2935402,
480,Michael Miller,Philosophy,University of Toronto,3.0,3,34,3.0,https://www.ratemyprofessors.com/professor/2917961,2917961,
481,Abbey  Nydam,Psychology,University of Toronto,5.0,1,100,3.0,https://www.ratemyprofessors.com/professor/2981432,2981432,
482,Bejan Raluca,Social Work,University of Toronto,2.0,9,12,4.2,https://www.ratemyprofessors.com/professor/2212251,2212251,
483,Vivian Lee,Architecture,University of Toronto,3.5,2,50,3.0,https://www.ratemyprofessors.com/professor/2564514,2564514,
484,Oded Oron,Political Science,University of Toronto,5.0,1,100,2.0,https://www.ratemyprofessors.com/professor/2919208,2919208,
485,Sara Verskin,History,University of Toronto,5.0,1,100,1.0,https://www.ratemyprofessors.com/professor/2979945,2979945,
486,Sidi Mohamed Beillahi,Computer Science,University of Toronto,1.0,3,0,4.0,https://www.ratemyprofessors.com/professor/2887512,2887512,
487,Malcolm Ramsay,Anthropology,University of Toronto,2.0,1,0,2.0,https://www.ratemyprofessors.com/professor/2820811,2820811,
488,Margot Lystra,Architecture,University of Toronto,1.0,1,0,4.0,https://www.ratemyprofessors.com/professor/2978985,2978985,
489,Rebecca Bleich,History,University of Toronto,5.0,1,100,1.0,https://www.ratemyprofessors.com/professor/2978743,2978743,
490,Carrie Reese,Film,University of Toronto,5.0,2,100,3.0,https://www.ratemyprofessors.com/professor/2952789,2952789,
491,Diana Sanchez,Film,University of Toronto,5.0,1,100,2.0,https://www.ratemyprofessors.com/professor/2896559,2896559,
492,Giulio Tiozzo,Mathematics,University of Toronto,5.0,3,100,2.0,https://www.ratemyprofessors.com/professor/2483191,2483191,
493,Colin Raffel,Computer Science,University of Toronto,5.0,1,100,3.0,https://www.ratemyprofessors.com/professor/2954545,2954545,
494,Ziteng Cheng,Mathematics,University of Toronto,1.3,18,6,4.6,https://www.ratemyprofessors.com/professor/2887878,2887878,
495,Michael Saini,Social Work,University of Toronto,4.3,4,100,2.3,https://www.ratemyprofessors.com/professor/1660671,1660671,
496,David Liu,Computer Science,University of Toronto,5.0,1,100,1.0,https://www.ratemyprofessors.com/professor/2930175,2930175,
497,Linda White,Public Policy & Administration,University of Toronto,2.3,6,34,2.7,https://www.ratemyprofessors.com/professor/2040954,2040954,
498,Adam Hincks,Physics,University of Toronto,5.0,2,100,2.5,https://www.ratemyprofessors.com/professor/2969151,2969151,
499,Brookes Brown,Philosophy,University of Toronto,5.0,2,100,3.0,https://www.ratemyprofessors.com/professor/2965335,2965335,
500,Jon Abbatt,Chemistry,University of Toronto,5.0,2,100,2.0,https://www.ratemyprofessors.com/professor/2914151,2914151,
501,Aephraim Steinberg,Physics,University of Toronto,4.0,4,75,3.3,https://www.ratemyprofessors.com/professor/2861581,2861581,
502,Joyce Chen,Physical Education,University of Toronto,2.0,1,0,4.0,https://www.ratemyprofessors.com/professor/2502124,2502124,
503,Marshall Chasin,Languages,University of Toronto,3.3,2,0,2.0,https://www.ratemyprofessors.com/professor/1902966,1902966,
504,Haissi Cui,Chemistry,University of Toronto,1.8,5,0,3.6,https://www.ratemyprofessors.com/professor/2888435,2888435,
505,Shubhangi Saraf,Mathematics,University of Toronto,5.0,1,100,3.0,https://www.ratemyprofessors.com/professor/2853449,2853449,
506,Tyler King,Criminal Justice,University of Toronto,5.0,1,100,3.0,https://www.ratemyprofessors.com/professor/2953306,2953306,
507,Beverley Mullings,Geography,University of Toronto,4.0,3,67,3.0,https://www.ratemyprofessors.com/professor/2920580,2920580,
508,Yinnon Geva,Geography,University of Toronto,2.0,1,0,3.0,https://www.ratemyprofessors.com/professor/2870513,2870513,
509,Jennifer Ross,Humanities,University of Toronto,4.5,2,100,1.5,https://www.ratemyprofessors.com/professor/2967081,2967081,
510,vittorio  Bottini,Classics,University of Toronto,4.7,3,100,3.0,https://www.ratemyprofessors.com/professor/2936147,2936147,
511,Leo Jiang,Mathematics,University of Toronto,1.0,5,0,4.8,https://www.ratemyprofessors.com/professor/2890757,2890757,
